,Threshold,Precision,Recall,F1-score,TP,FP
0,0.06,0.532051282051282,0.8736842105263158,0.6613545816733069,83.0,73.0
1,0.07,0.5942028985507246,0.8631578947368421,0.703862660944206,82.0,56.0
2,0.08,0.640625,0.8631578947368421,0.7354260089686099,82.0,46.0
3,0.09,0.6890756302521008,0.8631578947368421,0.7663551401869159,82.0,37.0
4,0.1,0.7256637168141593,0.8631578947368421,0.7884615384615384,82.0,31.0
5,0.11,0.7735849056603774,0.8631578947368421,0.8159203980099502,82.0,24.0
6,0.13,0.82,0.8631578947368421,0.8410256410256411,82.0,18.0
7,0.14,0.8282828282828283,0.8631578947368421,0.8453608247422681,82.0,17.0
8,0.15,0.8367346938775511,0.8631578947368421,0.8497409326424872,82.0,16.0
9,0.16,0.8350515463917526,0.8526315789473684,0.84375,81.0,16.0
10,0.18,0.84375,0.8526315789473684,0.8481675392670157,81.0,15.0
11,0.2,0.8709677419354839,0.8526315789473684,0.8617021276595744,81.0,12.0
12,0.21,0.8804347826086957,0.8526315789473684,0.8663101604278075,81.0,11.0
13,0.24,0.8901098901098901,0.8526315789473684,0.8709677419354839,81.0,10.0
14,0.28,0.9,0.8526315789473684,0.8756756756756757,81.0,9.0
15,0.29,0.9101123595505618,0.8526315789473684,0.8804347826086957,81.0,8.0
16,0.3,0.9204545454545454,0.8526315789473684,0.8852459016393441,81.0,7.0
17,0.32,0.9310344827586207,0.8526315789473684,0.8901098901098902,81.0,6.0
18,0.33,0.9418604651162791,0.8526315789473684,0.8950276243093923,81.0,5.0
19,0.38,0.9411764705882353,0.8421052631578947,0.8888888888888888,80.0,5.0
20,0.41,0.9404761904761905,0.8315789473684211,0.88268156424581,79.0,5.0
21,0.45,0.9397590361445783,0.8210526315789474,0.8764044943820224,78.0,5.0
22,0.46,0.9512195121951219,0.8210526315789474,0.8813559322033899,78.0,4.0
23,0.49,0.9629629629629629,0.8210526315789474,0.8863636363636364,78.0,3.0
24,0.51,0.9625,0.8105263157894737,0.88,77.0,3.0
25,0.53,0.9746835443037974,0.8105263157894737,0.8850574712643677,77.0,2.0
26,0.59,0.987012987012987,0.8,0.8837209302325582,76.0,1.0
27,0.61,1.0,0.7894736842105263,0.8823529411764706,75.0,0.0
28,0.62,1.0,0.7789473684210526,0.8757396449704142,74.0,0.0
29,0.64,1.0,0.7578947368421053,0.8622754491017963,72.0,0.0
30,0.65,1.0,0.7473684210526316,0.8554216867469879,71.0,0.0
31,0.69,1.0,0.7263157894736842,0.8414634146341463,69.0,0.0
32,0.71,1.0,0.7157894736842105,0.8343558282208589,68.0,0.0
33,0.72,1.0,0.7052631578947368,0.8271604938271605,67.0,0.0
34,0.74,1.0,0.6947368421052632,0.8198757763975156,66.0,0.0
35,0.75,1.0,0.6842105263157895,0.8125000000000001,65.0,0.0
36,0.77,1.0,0.6736842105263158,0.8050314465408805,64.0,0.0
37,0.78,1.0,0.6631578947368421,0.7974683544303798,63.0,0.0
38,0.79,1.0,0.6526315789473685,0.7898089171974523,62.0,0.0
39,0.8,1.0,0.631578947368421,0.7741935483870968,60.0,0.0
40,0.82,1.0,0.6210526315789474,0.7662337662337663,59.0,0.0
41,0.83,1.0,0.6105263157894737,0.7581699346405228,58.0,0.0
42,0.84,1.0,0.6,0.7499999999999999,57.0,0.0
43,0.85,1.0,0.5789473684210527,0.7333333333333334,55.0,0.0
44,0.86,1.0,0.5684210526315789,0.7248322147651006,54.0,0.0
45,0.87,1.0,0.5368421052631579,0.6986301369863014,51.0,0.0
46,0.88,1.0,0.5263157894736842,0.6896551724137931,50.0,0.0
47,0.89,1.0,0.5052631578947369,0.6713286713286714,48.0,0.0
