,Threshold,Precision,Recall,F1-score,TP,FP
0,0.05,0.515527950310559,0.8736842105263158,0.6484375,83.0,78.0
1,0.06,0.5845070422535211,0.8736842105263158,0.7004219409282701,83.0,59.0
2,0.07,0.6507936507936508,0.8631578947368421,0.7420814479638009,82.0,44.0
3,0.08,0.6890756302521008,0.8631578947368421,0.7663551401869159,82.0,37.0
4,0.09,0.7192982456140351,0.8631578947368421,0.784688995215311,82.0,32.0
5,0.11,0.7297297297297297,0.8526315789473684,0.7864077669902912,81.0,30.0
6,0.12,0.7431192660550459,0.8526315789473684,0.7941176470588235,81.0,28.0
7,0.13,0.7788461538461539,0.8526315789473684,0.814070351758794,81.0,23.0
8,0.14,0.8181818181818182,0.8526315789473684,0.8350515463917525,81.0,18.0
9,0.17,0.8350515463917526,0.8526315789473684,0.84375,81.0,16.0
10,0.19,0.8526315789473684,0.8526315789473684,0.8526315789473685,81.0,14.0
11,0.22,0.8617021276595744,0.8526315789473684,0.8571428571428572,81.0,13.0
12,0.23,0.8709677419354839,0.8526315789473684,0.8617021276595744,81.0,12.0
13,0.24,0.8804347826086957,0.8526315789473684,0.8663101604278075,81.0,11.0
14,0.27,0.8901098901098901,0.8526315789473684,0.8709677419354839,81.0,10.0
15,0.28,0.9,0.8526315789473684,0.8756756756756757,81.0,9.0
16,0.29,0.9101123595505618,0.8526315789473684,0.8804347826086957,81.0,8.0
17,0.3,0.9204545454545454,0.8526315789473684,0.8852459016393441,81.0,7.0
18,0.33,0.9310344827586207,0.8526315789473684,0.8901098901098902,81.0,6.0
19,0.37,0.9411764705882353,0.8421052631578947,0.8888888888888888,80.0,5.0
20,0.39,0.9523809523809523,0.8421052631578947,0.8938547486033519,80.0,4.0
21,0.4,0.963855421686747,0.8421052631578947,0.898876404494382,80.0,3.0
22,0.41,0.975609756097561,0.8421052631578947,0.903954802259887,80.0,2.0
23,0.49,0.975,0.8210526315789474,0.8914285714285713,78.0,2.0
24,0.5,0.9871794871794872,0.8105263157894737,0.8901734104046243,77.0,1.0
25,0.53,0.987012987012987,0.8,0.8837209302325582,76.0,1.0
26,0.56,0.9868421052631579,0.7894736842105263,0.8771929824561403,75.0,1.0
27,0.61,0.9863013698630136,0.7578947368421053,0.8571428571428571,72.0,1.0
28,0.62,1.0,0.7578947368421053,0.8622754491017963,72.0,0.0
29,0.63,1.0,0.7368421052631579,0.8484848484848484,70.0,0.0
30,0.74,1.0,0.7052631578947368,0.8271604938271605,67.0,0.0
31,0.75,1.0,0.6947368421052632,0.8198757763975156,66.0,0.0
32,0.77,1.0,0.6842105263157895,0.8125000000000001,65.0,0.0
33,0.78,1.0,0.6631578947368421,0.7974683544303798,63.0,0.0
34,0.79,1.0,0.6421052631578947,0.782051282051282,61.0,0.0
35,0.8,1.0,0.631578947368421,0.7741935483870968,60.0,0.0
36,0.81,1.0,0.6210526315789474,0.7662337662337663,59.0,0.0
37,0.84,1.0,0.6105263157894737,0.7581699346405228,58.0,0.0
38,0.86,1.0,0.6,0.7499999999999999,57.0,0.0
39,0.87,1.0,0.5684210526315789,0.7248322147651006,54.0,0.0
40,0.89,1.0,0.5263157894736842,0.6896551724137931,50.0,0.0
41,0.91,1.0,0.5052631578947369,0.6713286713286714,48.0,0.0
