,Threshold,Precision,Recall,F1-score,TP,FP
0,0.05,0.5286624203821656,0.8736842105263158,0.6587301587301586,83.0,74.0
1,0.06,0.5694444444444444,0.8631578947368421,0.6861924686192469,82.0,62.0
2,0.07,0.6507936507936508,0.8631578947368421,0.7420814479638009,82.0,44.0
3,0.08,0.6949152542372882,0.8631578947368421,0.7699530516431925,82.0,36.0
4,0.09,0.7321428571428571,0.8631578947368421,0.792270531400966,82.0,30.0
5,0.1,0.7592592592592593,0.8631578947368421,0.8078817733990148,82.0,26.0
6,0.11,0.7788461538461539,0.8526315789473684,0.814070351758794,81.0,23.0
7,0.12,0.7941176470588235,0.8526315789473684,0.8223350253807108,81.0,21.0
8,0.13,0.8181818181818182,0.8526315789473684,0.8350515463917525,81.0,18.0
9,0.14,0.8350515463917526,0.8526315789473684,0.84375,81.0,16.0
10,0.15,0.8526315789473684,0.8526315789473684,0.8526315789473685,81.0,14.0
11,0.16,0.8617021276595744,0.8526315789473684,0.8571428571428572,81.0,13.0
12,0.18,0.8709677419354839,0.8526315789473684,0.8617021276595744,81.0,12.0
13,0.21,0.8804347826086957,0.8526315789473684,0.8663101604278075,81.0,11.0
14,0.24,0.9,0.8526315789473684,0.8756756756756757,81.0,9.0
15,0.28,0.9101123595505618,0.8526315789473684,0.8804347826086957,81.0,8.0
16,0.29,0.9090909090909091,0.8421052631578947,0.8743169398907102,80.0,8.0
17,0.3,0.9195402298850575,0.8421052631578947,0.879120879120879,80.0,7.0
18,0.32,0.9302325581395349,0.8421052631578947,0.8839779005524862,80.0,6.0
19,0.43,0.9411764705882353,0.8421052631578947,0.8888888888888888,80.0,5.0
20,0.44,0.9404761904761905,0.8315789473684211,0.88268156424581,79.0,5.0
21,0.46,0.9518072289156626,0.8315789473684211,0.8876404494382022,79.0,4.0
22,0.47,0.9634146341463414,0.8315789473684211,0.8926553672316384,79.0,3.0
23,0.48,0.975,0.8210526315789474,0.8914285714285713,78.0,2.0
24,0.5,0.9873417721518988,0.8210526315789474,0.896551724137931,78.0,1.0
25,0.55,0.9871794871794872,0.8105263157894737,0.8901734104046243,77.0,1.0
26,0.56,0.987012987012987,0.8,0.8837209302325582,76.0,1.0
27,0.57,1.0,0.8,0.888888888888889,76.0,0.0
28,0.63,1.0,0.7894736842105263,0.8823529411764706,75.0,0.0
29,0.65,1.0,0.7789473684210526,0.8757396449704142,74.0,0.0
30,0.66,1.0,0.7578947368421053,0.8622754491017963,72.0,0.0
31,0.67,1.0,0.7473684210526316,0.8554216867469879,71.0,0.0
32,0.69,1.0,0.7263157894736842,0.8414634146341463,69.0,0.0
33,0.74,1.0,0.7157894736842105,0.8343558282208589,68.0,0.0
34,0.75,1.0,0.6947368421052632,0.8198757763975156,66.0,0.0
35,0.76,1.0,0.6842105263157895,0.8125000000000001,65.0,0.0
36,0.77,1.0,0.6631578947368421,0.7974683544303798,63.0,0.0
37,0.8,1.0,0.6526315789473685,0.7898089171974523,62.0,0.0
38,0.81,1.0,0.6421052631578947,0.782051282051282,61.0,0.0
39,0.82,1.0,0.631578947368421,0.7741935483870968,60.0,0.0
40,0.85,1.0,0.6210526315789474,0.7662337662337663,59.0,0.0
41,0.87,1.0,0.5894736842105263,0.7417218543046357,56.0,0.0
42,0.88,1.0,0.5789473684210527,0.7333333333333334,55.0,0.0
43,0.89,1.0,0.5578947368421052,0.7162162162162162,53.0,0.0
